CO,NO2,O3,SO2,PM2.5,PM10,city,overall_aqi
287.06,8.48,63.66,2.41,6.08,7.01,Independence,64
297.07,7.11,43.99,1.64,5.22,6.69,Duluth,37
320.44,19.71,45.06,0.36,4.56,11.25,Menifee,38
460.63,33.59,2.26,0.25,7.51,10.67,Fall River,41
280.38,0.34,68.67,0.01,0.5,0.58,Anchorage,80
794.41,45.24,0.0,1.71,27.6,35.1,Somerville,74
347.14,31.53,16.09,2.09,7.78,15.99,Delray Beach,39
287.06,5.4,57.22,1.59,4.64,5.4,Brownsville,48
277.04,2.51,66.52,0.56,2.65,3.0,Lewisville,73
280.38,3.9,62.23,0.75,2.42,2.86,The Woodlands,60
300.41,6.86,47.92,0.19,1.98,2.0,Clarksville,40
1081.47,54.84,0.0,4.05,64.09,77.03,Santa Clara,147
226.97,1.46,30.76,0.03,0.5,0.7,Salem,26
247.0,6.94,79.39,0.25,1.9,3.8,Lakewood,110
297.07,3.04,61.51,0.22,1.27,1.59,Little Rock,57
320.44,6.94,45.78,0.29,4.38,4.63,Wyoming,38
280.38,12.34,11.27,0.03,5.26,7.88,Fairfield,17
1255.04,124.75,0.0,7.51,47.22,77.19,Compton,125
407.22,27.76,8.67,1.12,8.34,18.01,Kendall,34
263.69,3.0,46.49,0.27,6.32,7.41,Saint Joseph,39
794.41,45.24,0.0,1.71,27.6,35.1,Boston,74
273.71,9.0,48.64,0.2,5.02,7.91,Lubbock,41
277.04,5.23,36.84,1.03,11.54,14.76,Weston,37
1054.76,69.92,0.0,9.54,42.43,58.21,Newark,104
211.95,0.86,52.21,0.05,0.5,0.64,Warner Robins,44
560.76,48.67,0.02,5.07,20.3,28.36,Alameda,60
473.98,36.33,2.3,0.76,10.89,17.77,Citrus Heights,45
427.25,26.73,9.84,2.41,5.93,6.06,Evansville,33
250.34,4.67,15.02,0.01,7.39,9.41,Clovis,23
370.5,21.94,20.92,2.0,6.83,6.97,Champaign,27
243.66,8.57,50.07,3.93,2.63,4.57,Plymouth,42
333.79,20.05,29.68,0.48,8.77,17.38,Oxnard,28
320.44,6.86,47.21,1.37,17.32,18.28,Springdale,53
220.3,4.5,50.78,0.32,2.62,5.04,Kissimmee,43
417.23,29.82,15.38,0.71,7.91,8.02,Indianapolis,37
320.44,15.77,20.03,1.16,4.38,4.46,Lexington-Fayette  county,19
263.69,16.97,43.63,0.28,5.12,17.09,West Covina,36
363.83,27.76,14.84,1.91,6.75,6.83,Lorain,34
337.12,12.68,27.9,1.13,6.25,6.36,Richmond,23
397.21,17.99,0.26,0.14,4.69,5.38,Kennewick,22
270.37,14.74,4.34,0.04,5.96,7.49,Toledo,19
1081.47,108.3,0.0,3.4,36.72,56.57,Garden Grove,116
287.06,8.48,63.66,2.41,6.08,7.01,Kansas City,64
330.45,22.96,27.9,0.38,5.25,6.28,Greeley,28
277.04,2.51,66.52,0.56,2.65,3.0,Frisco,73
377.18,20.56,13.05,0.34,4.64,6.08,New Bedford,25
527.38,42.16,1.0,0.26,10.71,13.04,Danbury,52
373.84,19.88,30.4,4.17,9.94,11.57,Schaumburg,32
310.42,13.54,46.49,0.3,5.37,13.12,Vista,39
310.42,10.2,22.89,0.35,4.68,6.17,Yuba City,19
320.44,6.94,45.78,0.29,4.38,4.63,Grand Rapids,38
363.83,7.8,35.41,2.38,10.16,10.37,Springfield,32
397.21,11.48,31.11,1.01,18.15,18.55,Saint Charles,55
614.17,25.36,0.0,0.98,16.36,19.89,Sacramento,51
343.8,22.62,34.69,5.84,6.51,7.55,Livonia,29
1255.04,124.75,0.0,7.51,47.22,77.19,Redondo Beach,125
567.44,33.93,0.12,1.33,20.02,24.06,Minneapolis,59
460.63,38.73,8.58,0.76,11.32,23.08,Phoenix,48
297.07,7.03,59.37,2.24,3.81,4.85,Skokie,51
440.6,29.82,11.44,2.41,9.88,10.44,Baltimore,37
206.95,0.62,62.94,0.04,4.1,5.14,San Clemente,62
380.52,27.42,30.4,0.83,7.27,14.19,El Cajon,34
383.85,20.91,28.25,1.31,3.09,4.15,Seattle,26
327.11,14.57,53.64,0.44,5.04,11.5,Murrieta,45
317.1,18.85,42.92,5.19,5.27,6.17,Westland,36
267.03,3.17,57.94,0.37,7.05,7.63,Brandon,49
198.6,0.28,56.51,0.13,1.85,3.94,Mayagüez,47
714.3,79.51,0.15,3.31,31.68,38.21,West Jordan,99
420.57,22.62,15.56,1.71,7.49,7.85,Silver Spring,28
337.12,3.68,42.92,0.06,1.02,1.07,Jonesboro,36
327.11,8.74,43.63,0.47,11.01,11.4,Sioux Falls,36
300.41,9.43,45.78,0.14,3.58,4.57,Oklahoma City,38
310.42,13.37,55.08,3.55,3.53,4.74,League City,46
270.37,2.42,70.1,0.9,5.38,5.94,Topeka,84
330.45,12.68,45.78,4.59,6.06,7.29,Arlington Heights,38
1081.47,108.3,0.0,3.4,36.72,56.57,Huntington Beach,116
226.97,3.17,49.35,0.25,3.29,6.87,Cape Coral,41
714.3,65.8,0.08,1.57,31.31,37.35,South Jordan,82
250.34,3.3,47.92,1.94,2.07,2.38,Lafayette,40
741.01,48.67,0.0,2.62,48.88,59.69,Sunnyvale,116
270.37,3.51,72.24,0.5,3.72,4.34,Overland Park,91
293.73,4.28,49.35,0.1,3.4,3.73,Oshkosh,41
337.12,24.33,24.68,1.83,7.58,16.97,Davie,30
487.33,24.68,2.91,0.1,8.86,9.32,Schenectady,30
567.44,33.24,0.17,1.04,18.05,22.81,Apple Valley,55
400.54,27.76,0.07,0.74,21.62,26.83,Livermore,62
807.76,32.56,0.0,1.94,26.02,33.01,Elk Grove,71
236.99,2.66,70.81,0.72,1.17,2.11,Edinburg,86
367.17,17.14,20.21,1.31,4.57,4.65,Murfreesboro,21
1628.88,45.93,2.17,0.63,147.23,149.7,Parma,198
267.03,4.41,60.08,0.33,1.66,2.16,Rochester Hills,53
283.72,7.97,57.94,1.94,2.68,3.43,Southfield,49
250.34,1.07,65.09,0.04,3.47,4.25,Cedar Park,69
216.96,2.91,71.53,5.07,2.49,3.61,Melbourne,89
